d_visit,days_visit,staffID,siteID,pid,FormName,versionNbr,d_treadmillbegin,days_treadmillbegin,d_treadmillcomplete,days_treadmillcomplete,activity_score,compliant,weight,fat,lean,comments
26-Jul-18,86,1282,930,10016716,Animal Familiarization,2,13-Jul-18,73,26-Jul-18,86,4,1,178,9.5,83.6,
5-Jul-18,65,1282,930,10016988,Animal Familiarization,2,24-Jun-18,54,5-Jul-18,65,4,1,193,12.8,79.8,
5-Jul-18,65,1282,930,10017011,Animal Familiarization,2,24-Jun-18,54,5-Jul-18,65,2,1,196,13.8,78.8,
5-Jul-18,65,1282,930,10017283,Animal Familiarization,2,24-Jun-18,54,5-Jul-18,65,3,1,171,8.9,83.5,
5-Jul-18,65,1282,930,10017364,Animal Familiarization,2,24-Jun-18,54,5-Jul-18,65,3,1,183,9.2,82.7,
19-Jul-18,79,1282,930,10017445,Animal Familiarization,2,6-Jul-18,66,19-Jul-18,79,4,1,174,7.1,85.1,
19-Jul-18,79,1282,930,10017607,Animal Familiarization,2,6-Jul-18,66,19-Jul-18,79,3,1,185,16.3,77.2,
19-Jul-18,79,1282,930,10017798,Animal Familiarization,2,6-Jul-18,66,19-Jul-18,79,2,1,193,12.8,79.5,
19-Jul-18,79,1282,930,10017879,Animal Familiarization,2,6-Jul-18,66,19-Jul-18,79,2,1,167,9.2,83.1,
26-Jul-18,86,1282,930,10018093,Animal Familiarization,2,13-Jul-18,73,26-Jul-18,86,4,1,186,11.9,81.4,
26-Jul-18,86,1282,930,10018174,Animal Familiarization,2,13-Jul-18,73,26-Jul-18,86,4,1,181,13.6,79.2,
26-Jul-18,86,1282,930,10018255,Animal Familiarization,2,13-Jul-18,73,26-Jul-18,86,4,1,183,9.7,82.7,
5-Jul-18,65,1282,930,10018336,Animal Familiarization,2,24-Jun-18,54,5-Jul-18,65,3,1,173,11.8,80.4,
26-Jul-18,86,1282,930,10018417,Animal Familiarization,2,13-Jul-18,73,26-Jul-18,86,4,1,175,13,80.8,
26-Jul-18,86,1282,930,10018689,Animal Familiarization,2,13-Jul-18,73,26-Jul-18,86,2,1,366,16.8,75.8,
5-Jul-18,65,1282,930,10018840,Animal Familiarization,2,24-Jun-18,54,5-Jul-18,65,3,1,373,17.1,74.8,
19-Jul-18,79,1282,930,10018921,Animal Familiarization,2,6-Jul-18,66,19-Jul-18,79,3,1,352,14.2,77.2,
5-Jul-18,65,1282,930,10019065,Animal Familiarization,2,24-Jun-18,54,5-Jul-18,65,2,1,350,13,62,
26-Jul-18,86,1282,930,10019146,Animal Familiarization,2,13-Jul-18,73,26-Jul-18,86,3,1,353,16.5,75.2,
26-Jul-18,86,1282,930,10019227,Animal Familiarization,2,13-Jul-18,73,26-Jul-18,86,2,1,355,16,76.6,
19-Jul-18,79,1282,930,10019499,Animal Familiarization,2,6-Jul-18,66,19-Jul-18,79,4,1,379,14.8,75.3,
26-Jul-18,86,1282,930,10019650,Animal Familiarization,2,13-Jul-18,73,26-Jul-18,86,2,1,338,15.5,77.2,
